         28432909 function calls (28411067 primitive calls) in 212.700 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    669/1    0.006    0.000  212.701  212.701 {built-in method builtins.exec}
        1    1.474    1.474  212.701  212.701 submission.py:2(<module>)
      103    0.844    0.008  202.245    1.964 parallel.py:1847(__call__)
 13349006    1.397    0.000  201.286    0.000 parallel.py:1583(_get_outputs)
 13291271   45.061    0.000  199.564    0.000 parallel.py:1691(_retrieve)
    11049  154.400    0.014  154.400    0.014 {built-in method time.sleep}
      305    6.361    0.021    6.362    0.021 {waitKey}
       58    0.003    0.000    0.726    0.013 __init__.py:1(<module>)
     1310    0.573    0.000    0.573    0.000 {built-in method numpy.array}
      104    0.568    0.005    0.568    0.005 {method 'read' of 'cv2.VideoCapture' objects}
   717/13    0.003    0.000    0.520    0.040 <frozen importlib._bootstrap>:986(_find_and_load)
   711/13    0.002    0.000    0.520    0.040 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
   682/12    0.002    0.000    0.518    0.043 <frozen importlib._bootstrap>:650(_load_unlocked)
   530/12    0.001    0.000    0.518    0.043 <frozen importlib._bootstrap_external>:842(exec_module)
   924/12    0.000    0.000    0.516    0.043 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
   689/83    0.001    0.000    0.447    0.005 <frozen importlib._bootstrap>:1017(_handle_fromlist)
   529/62    0.001    0.000    0.437    0.007 {built-in method builtins.__import__}
1136/1075    0.001    0.000    0.306    0.000 {built-in method builtins.next}
      103    0.001    0.000    0.304    0.003 parallel.py:1562(_start)
     2575    0.015    0.000    0.302    0.000 parallel.py:1399(dispatch_one_batch)
        1    0.000    0.000    0.247    0.247 pyplot.py:4(<module>)
3909/1400    0.003    0.000    0.234    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
1561/1420    0.014    0.000    0.229    0.000 {built-in method builtins.__build_class__}
      408    0.219    0.001    0.219    0.001 {imshow}
     2472    0.010    0.000    0.212    0.000 parallel.py:1361(_dispatch)
     2472    0.004    0.000    0.196    0.000 _parallel_backends.py:598(apply_async)
     2472    0.006    0.000    0.184    0.000 reusable_executor.py:223(submit)
     2472    0.011    0.000    0.178    0.000 process_executor.py:1223(submit)
      649    0.173    0.000    0.173    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      207    0.003    0.000    0.165    0.001 _methods.py:162(_mean)
      104    0.000    0.000    0.163    0.002 {method 'mean' of 'numpy.ndarray' objects}
      100    0.001    0.000    0.152    0.002 artist.py:159(_update_set_signature_and_docstring)
       99    0.000    0.000    0.149    0.002 artist.py:126(__init_subclass__)
      103    0.127    0.001    0.127    0.001 {GaussianBlur}
        1    0.000    0.000    0.124    0.124 figure.py:1(<module>)
      103    0.000    0.000    0.123    0.001 <__array_function__ internals>:177(repeat)
      103    0.000    0.000    0.122    0.001 fromnumeric.py:436(repeat)
      103    0.000    0.000    0.122    0.001 fromnumeric.py:51(_wrapfunc)
      103    0.122    0.001    0.122    0.001 {method 'repeat' of 'numpy.ndarray' objects}
      112    0.000    0.000    0.120    0.001 artist.py:1841(kwdoc)
     2472    0.006    0.000    0.109    0.000 process_executor.py:1216(_ensure_executor_running)
      103    0.001    0.000    0.104    0.001 parallel.py:1329(_initialize_backend)
      112    0.003    0.000    0.104    0.001 artist.py:1602(pprint_setters)
      103    0.001    0.000    0.103    0.001 _parallel_backends.py:542(configure)
        1    0.000    0.000    0.098    0.098 colorbar.py:1(<module>)
        1    0.098    0.098    0.098    0.098 {namedWindow}
      103    0.000    0.000    0.086    0.001 <__array_function__ internals>:177(median)
     4050    0.007    0.000    0.085    0.000 artist.py:1474(get_valid_values)
      103    0.000    0.000    0.085    0.001 function_base.py:3711(median)
      103    0.001    0.000    0.085    0.001 function_base.py:3651(_ureduce)
      103    0.003    0.000    0.084    0.001 function_base.py:3801(_median)
        1    0.001    0.001    0.081    0.081 process_executor.py:1186(_adjust_process_count)
    72/70    0.000    0.000    0.078    0.001 __init__.py:109(import_module)
    72/70    0.000    0.000    0.078    0.001 <frozen importlib._bootstrap>:1002(_gcd_import)
       12    0.000    0.000    0.074    0.006 process.py:110(start)
       12    0.000    0.000    0.074    0.006 process.py:39(_Popen)
      103    0.000    0.000    0.073    0.001 <__array_function__ internals>:177(partition)
       12    0.001    0.000    0.073    0.006 popen_loky_posix.py:43(__init__)
      103    0.000    0.000    0.073    0.001 fromnumeric.py:667(partition)
       12    0.003    0.000    0.072    0.006 popen_loky_posix.py:92(_launch)
      103    0.067    0.001    0.067    0.001 {method 'partition' of 'numpy.ndarray' objects}
      530    0.003    0.000    0.064    0.000 <frozen importlib._bootstrap_external>:914(get_code)
        1    0.000    0.000    0.061    0.061 rcsetup.py:1(<module>)
15700/14701    0.004    0.000    0.060    0.000 {built-in method builtins.hasattr}
       13    0.001    0.000    0.056    0.004 fork_exec.py:33(fork_exec)
     6793    0.034    0.000    0.056    0.000 inspect.py:625(cleandoc)
      3/1    0.000    0.000    0.056    0.056 __init__.py:198(__getattr__)
    46459    0.030    0.000    0.056    0.000 parallel.py:712(get_result)
        1    0.000    0.000    0.055    0.055 contour.py:1(<module>)
      104    0.053    0.001    0.053    0.001 {resize}
     6764    0.003    0.000    0.053    0.000 inspect.py:606(getdoc)
        1    0.000    0.000    0.053    0.053 backend_bases.py:1(<module>)
       13    0.052    0.004    0.052    0.004 {built-in method posix.fork}
    71/40    0.000    0.000    0.049    0.001 <frozen importlib._bootstrap_external>:1172(exec_module)
