         2762322 function calls (2682407 primitive calls) in 3.838 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    725/1    0.005    0.000    3.838    3.838 {built-in method builtins.exec}
        1    0.028    0.028    3.838    3.838 submission.py:8(<module>)
       85    1.730    0.020    1.731    0.020 {waitKey}
        2    0.000    0.000    1.438    0.719 submission.py:107(get_new_edge_lengths)
        2    0.000    0.000    1.438    0.719 submission.py:111(<listcomp>)
      100    0.001    0.000    1.438    0.014 submission.py:164(compute_plane_scipy)
      100    0.001    0.000    1.435    0.014 _minimize.py:45(minimize)
      100    0.001    0.000    1.433    0.014 _optimize.py:1318(_minimize_bfgs)
      106    0.001    0.000    1.355    0.013 _optimize.py:1144(_line_search_wolfe12)
      106    0.000    0.000    1.201    0.011 _linesearch.py:31(line_search_wolfe1)
      106    0.017    0.000    1.201    0.011 _linesearch.py:91(scalar_search_wolfe1)
     8350    0.007    0.000    1.066    0.000 _differentiable_functions.py:270(grad)
     8450    0.004    0.000    1.037    0.000 _differentiable_functions.py:254(_update_grad)
     8342    0.018    0.000    1.033    0.000 _differentiable_functions.py:170(update_grad)
     8342    0.136    0.000    1.014    0.000 _numdiff.py:275(approx_derivative)
     7568    0.023    0.000    1.007    0.000 _linesearch.py:77(derphi)
        1    0.000    0.000    0.754    0.754 submission.py:147(determine_outer_hexoctahedron)
        1    0.000    0.000    0.685    0.685 submission.py:123(determine_inner_hexoctahedron)
       61    0.002    0.000    0.680    0.011 __init__.py:1(<module>)
313972/247041    0.283    0.000    0.653    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     8342    0.101    0.000    0.511    0.000 _numdiff.py:566(_dense_difference)
    745/8    0.002    0.000    0.368    0.046 <frozen importlib._bootstrap>:986(_find_and_load)
    740/8    0.002    0.000    0.368    0.046 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
    708/8    0.002    0.000    0.368    0.046 <frozen importlib._bootstrap>:650(_load_unlocked)
    590/8    0.001    0.000    0.367    0.046 <frozen importlib._bootstrap_external>:842(exec_module)
   1049/9    0.000    0.000    0.367    0.041 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
    33892    0.043    0.000    0.361    0.000 _differentiable_functions.py:132(fun_wrapped)
    25026    0.021    0.000    0.357    0.000 _numdiff.py:455(fun_wrapped)
   751/87    0.001    0.000    0.300    0.003 <frozen importlib._bootstrap>:1017(_handle_fromlist)
   546/96    0.001    0.000    0.265    0.003 {built-in method builtins.__import__}
    33892    0.074    0.000    0.255    0.000 submission.py:171(<lambda>)
    77564    0.022    0.000    0.182    0.000 <__array_function__ internals>:177(dot)
     8874    0.010    0.000    0.181    0.000 _differentiable_functions.py:264(fun)
     7568    0.022    0.000    0.177    0.000 _linesearch.py:73(phi)
     8342    0.013    0.000    0.156    0.000 _numdiff.py:193(_prepare_bounds)
      100    0.000    0.000    0.152    0.002 _linesearch.py:181(line_search_wolfe2)
      100    0.000    0.000    0.152    0.002 _linesearch.py:317(scalar_search_wolfe2)
        2    0.148    0.074    0.148    0.074 {method 'read' of 'cv2.VideoCapture' objects}
      100    0.003    0.000    0.147    0.001 _linesearch.py:517(_zoom)
    16684    0.006    0.000    0.134    0.000 <__array_function__ internals>:177(resize)
    15/13    0.000    0.000    0.128    0.010 __init__.py:109(import_module)
    15/13    0.000    0.000    0.128    0.010 <frozen importlib._bootstrap>:1002(_gcd_import)
    50676    0.018    0.000    0.122    0.000 <__array_function__ internals>:177(atleast_1d)
    16684    0.029    0.000    0.120    0.000 fromnumeric.py:1394(resize)
        1    0.000    0.000    0.118    0.118 pyplot.py:4(<module>)
     8342    0.032    0.000    0.107    0.000 _numdiff.py:11(_adjust_scheme_to_bounds)
    68093    0.107    0.000    0.107    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    17316    0.004    0.000    0.102    0.000 _differentiable_functions.py:249(_update_fun)
     8866    0.003    0.000    0.097    0.000 _differentiable_functions.py:154(update_fun)
      682    0.002    0.000    0.094    0.000 _linesearch.py:280(derphi)
7386/5114    0.001    0.000    0.089    0.000 {built-in method builtins.hasattr}
      4/2    0.000    0.000    0.088    0.044 __init__.py:198(__getattr__)
    17224    0.006    0.000    0.080    0.000 <__array_function__ internals>:177(array_equal)
    33896    0.011    0.000    0.072    0.000 {method 'sum' of 'numpy.ndarray' objects}
    50676    0.042    0.000    0.071    0.000 shape_base.py:23(atleast_1d)
  707/703    0.001    0.000    0.068    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
