         12397635 function calls (11959433 primitive calls) in 17.508 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    934/1    0.007    0.000   17.509   17.509 {built-in method builtins.exec}
        1    0.022    0.022   17.509   17.509 submission.py:7(<module>)
        2    0.000    0.000   14.677    7.339 submission.py:107(get_new_edge_lengths)
        2    0.001    0.000   14.676    7.338 submission.py:111(<listcomp>)
      550   11.037    0.020   14.675    0.027 submission.py:285(compute_plane)
        1    0.000    0.000   14.099   14.099 submission.py:150(determine_outer_hexoctahedron)
2478618/2065336    1.719    0.000    2.764    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
  2065085    0.500    0.000    2.205    0.000 <__array_function__ internals>:177(dot)
       84    1.890    0.023    1.891    0.023 {waitKey}
   413019    0.127    0.000    1.624    0.000 <__array_function__ internals>:177(norm)
   413019    0.706    0.000    1.334    0.000 linalg.py:2349(norm)
       82    0.002    0.000    1.207    0.015 __init__.py:1(<module>)
    996/8    0.003    0.000    0.579    0.072 <frozen importlib._bootstrap>:986(_find_and_load)
    990/8    0.002    0.000    0.579    0.072 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
        1    0.000    0.000    0.578    0.578 submission.py:126(determine_inner_hexoctahedron)
    954/8    0.002    0.000    0.578    0.072 <frozen importlib._bootstrap>:650(_load_unlocked)
    773/8    0.001    0.000    0.578    0.072 <frozen importlib._bootstrap_external>:842(exec_module)
   1294/8    0.000    0.000    0.576    0.072 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
   937/78    0.001    0.000    0.513    0.007 <frozen importlib._bootstrap>:1017(_handle_fromlist)
   620/99    0.001    0.000    0.481    0.005 {built-in method builtins.__import__}
        1    0.000    0.000    0.233    0.233 pyplot.py:4(<module>)
2107/1961    0.017    0.000    0.227    0.000 {built-in method builtins.__build_class__}
   413580    0.180    0.000    0.180    0.000 {built-in method numpy.array}
    79/71    0.000    0.000    0.177    0.002 __init__.py:109(import_module)
    80/71    0.000    0.000    0.177    0.002 <frozen importlib._bootstrap>:1002(_gcd_import)
16670/13769    0.004    0.000    0.160    0.000 {built-in method builtins.hasattr}
        2    0.158    0.079    0.158    0.079 {method 'read' of 'cv2.VideoCapture' objects}
      4/2    0.000    0.000    0.157    0.078 __init__.py:198(__getattr__)
      100    0.000    0.000    0.150    0.002 artist.py:159(_update_set_signature_and_docstring)
       99    0.000    0.000    0.148    0.001 artist.py:126(__init_subclass__)
      112    0.000    0.000    0.118    0.001 artist.py:1841(kwdoc)
  2065085    0.117    0.000    0.117    0.000 multiarray.py:736(dot)
        1    0.000    0.000    0.116    0.116 figure.py:1(<module>)
  977/850    0.004    0.000    0.106    0.000 <frozen importlib._bootstrap>:890(_find_spec)
      112    0.003    0.000    0.102    0.001 artist.py:1602(pprint_setters)
        1    0.000    0.000    0.095    0.095 colorbar.py:1(<module>)
        1    0.000    0.000    0.094    0.094 _minimize.py:1(<module>)
      773    0.004    0.000    0.092    0.000 <frozen importlib._bootstrap_external>:914(get_code)
        1    0.000    0.000    0.091    0.091 minimize_trustregion_constr.py:1(<module>)
        1    0.000    0.000    0.090    0.090 _constraints.py:1(<module>)
     4050    0.007    0.000    0.084    0.000 artist.py:1474(get_valid_values)
        1    0.083    0.083    0.083    0.083 {namedWindow}
   413017    0.054    0.000    0.078    0.000 linalg.py:116(isComplexType)
        1    0.000    0.000    0.071    0.071 extbuild.py:1(<module>)
        2    0.000    0.000    0.070    0.035 ccompiler.py:1(<module>)
   413017    0.068    0.000    0.068    0.000 {method 'ravel' of 'numpy.ndarray' objects}
  979/850    0.001    0.000    0.068    0.000 __init__.py:89(find_spec)
      2/1    0.000    0.000    0.067    0.067 __init__.py:99(spec_for_distutils)
      773    0.001    0.000    0.064    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
      773    0.062    0.000    0.062    0.000 {built-in method marshal.loads}
     6793    0.034    0.000    0.056    0.000 inspect.py:625(cleandoc)
       84    0.054    0.001    0.054    0.001 {imshow}
   827195    0.053    0.000    0.053    0.000 {built-in method builtins.issubclass}
  954/912    0.001    0.000    0.053    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
     6764    0.003    0.000    0.052    0.000 inspect.py:606(getdoc)
     7430    0.004    0.000    0.051    0.000 re.py:289(_compile)
        1    0.000    0.000    0.051    0.051 contour.py:1(<module>)
        1    0.000    0.000    0.049    0.049 backend_bases.py:1(<module>)
        1    0.007    0.007    0.047    0.047 rcsetup.py:1(<module>)
      284    0.001    0.000    0.045    0.000 sre_compile.py:759(compile)
        1    0.000    0.000    0.045    0.045 text.py:1(<module>)
        2    0.000    0.000    0.044    0.022 dist.py:1(<module>)
    91/62    0.000    0.000    0.042    0.001 <frozen importlib._bootstrap_external>:1172(exec_module)
    91/62    0.005    0.000    0.042    0.001 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.040    0.040 collections.py:1(<module>)
      213    0.000    0.000    0.038    0.000 artist.py:1426(__init__)
      213    0.006    0.000    0.037    0.000 artist.py:1446(get_aliases)
      950    0.001    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:1399(find_spec)
  951/950    0.002    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
        1    0.000    0.000    0.033    0.033 _axes.py:1(<module>)
   413019    0.033    0.000    0.033    0.000 linalg.py:2345(_norm_dispatcher)
      142    0.000    0.000    0.032    0.000 re.py:250(compile)
       91    0.000    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:1164(create_module)
       91    0.029    0.000    0.030    0.000 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.030    0.030 _kdtree.py:3(<module>)
   412768    0.030    0.000    0.030    0.000 {built-in method builtins.abs}
     1415    0.007    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
        1    0.000    0.000    0.030    0.030 patches.py:1(<module>)
        2    0.000    0.000    0.029    0.015 _base.py:1(<module>)
      284    0.001    0.000    0.028    0.000 sre_parse.py:937(parse)
  729/284    0.001    0.000    0.027    0.000 sre_parse.py:435(_parse_sub)
  910/293    0.010    0.000    0.027    0.000 sre_parse.py:493(_parse)
   413063    0.026    0.000    0.026    0.000 {built-in method numpy.asarray}
        1    0.000    0.000    0.026    0.026 axes3d.py:1(<module>)
     5304    0.002    0.000    0.025    0.000 re.py:198(search)
        1    0.004    0.004    0.025    0.025 submission.py:465(compute_alpha)
   412668    0.025    0.000    0.025    0.000 submission.py:163(dummy)
      213    0.008    0.000    0.024    0.000 artist.py:1521(get_setters)
        1    0.000    0.000    0.023    0.023 __init__.py:68(bootstrap)
        3    0.000    0.000    0.022    0.007 core.py:1(<module>)
        9    0.000    0.000    0.022    0.002 _base.py:734(__init_subclass__)
        1    0.000    0.000    0.021    0.021 _laplacian.py:1(<module>)
        1    0.000    0.000    0.020    0.020 _fontconfig_pattern.py:1(<module>)
        1    0.000    0.000    0.020    0.020 __init__.py:25(<module>)
        1    0.000    0.000    0.018    0.018 colors.py:1(<module>)
        3    0.005    0.002    0.018    0.006 submission.py:96(get_edge_vectors)
        1    0.000    0.000    0.017    0.017 parallel.py:1(<module>)
        5    0.000    0.000    0.017    0.003 version.py:1(<module>)
      132    0.000    0.000    0.017    0.000 _docstring.py:38(__call__)
  122/111    0.000    0.000    0.017    0.000 _docstring.py:79(__call__)
      725    0.000    0.000    0.016    0.000 inspect.py:3103(signature)
  807/735    0.002    0.000    0.016    0.000 inspect.py:2218(_signature_from_callable)
      725    0.000    0.000    0.016    0.000 inspect.py:2851(from_callable)
      284    0.000    0.000    0.016    0.000 sre_compile.py:598(_code)
       30    0.002    0.000    0.015    0.000 __init__.py:835(_rc_params_in_file)
      773    0.003    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1034(get_data)
        1    0.000    0.000    0.014    0.014 _parallel_backends.py:1(<module>)
        1    0.000    0.000    0.014    0.014 async_case.py:1(<module>)
        1    0.000    0.000    0.014    0.014 pool.py:1(<module>)
       12    0.000    0.000    0.014    0.001 _docstring.py:51(__missing__)
        1    0.000    0.000    0.013    0.013 _memmapping_reducer.py:1(<module>)
        1    0.000    0.000    0.013    0.013 memory.py:1(<module>)
        1    0.000    0.000    0.013    0.013 art3d.py:5(<module>)
     9277    0.013    0.000    0.013    0.000 {method 'search' of 're.Pattern' objects}
        1    0.000    0.000    0.012    0.012 markers.py:5(<module>)
 1779/284    0.005    0.000    0.012    0.000 sre_compile.py:71(_compile)
        1    0.000    0.000    0.012    0.012 _parser.py:1(<module>)
      213    0.006    0.000    0.012    0.000 artist.py:1457(<listcomp>)
